industry,IMP_2006,IMP_2017,BR_2006,BR_2017
Extrativa Mineral,29,30,183188,212337
Prod. Mineral Não Metálico,647,822,321177,363112
Indústria Metalúrgica,114,144,647335,623423
Indústria Mecânica,14,51,415775,511873
Elétrico e Comunic,9,24,243071,231.89
Material de Transporte,23,38,437293,453284
Madeira e Mobiliário,287,474,443034,402984
Papel e Gráf,243,1039,360367,343308
"Borracha, Fumo, Couros",155,185,298529,296574
Indústria Química,161,193,673587,864076
Indústria Têxtil,243,231,874488,841605
Indústria Calçados,26,11,306791,276643
Alimentos e Bebidas,858,1779,1573336,1896434
Serviço Utilidade Pública,394,349,344565,425427
Construção Civil,588,3598,1393446,1838958
Comércio Varejista,8992,14.06,5321362,7623647
Comércio Atacadista,2545,4149,1008979,1607103
Instituição Financeira,319,596,663147,843758
Adm Técnica Profissional,1684,4073,3364451,5164660
Transporte e Comunicações,1612,2581,1759518,2562999
Aloj Comunic,2356,4514,2973378,4139164
Médicos Odontológicos Vet,1061,2.31,1188575,2073663
Ensino,1.22,2127,1280812,1988401
Administração Pública,3754,9379,7721815,9195215
Agricultura,801,503,1357230,1501052
